Time,origin,objective,distance,arrive,trajectory
7.5,"[0.55, 1.47]","[0.99, 0.01]",1.52,True,"[[0.99, 0.01], [0.99, 0.01], [0.99, 0.01], [0.97, 0.01], [0.95, -0.01], [0.93, 0.06], [0.89, 0.19], [0.87, 0.46], [0.83, 0.73], [0.78, 0.96], [0.76, 1.14], [0.77, 1.28], [0.76, 1.4], [0.73, 1.49], [0.67, 1.53]]"
9.94,"[1.8, 2.93]","[0.65, 1.54]",1.8,True,"[[0.65, 1.54], [0.65, 1.54], [0.65, 1.54], [0.65, 1.53], [0.65, 1.52], [0.64, 1.52], [0.67, 1.56], [0.7, 1.72], [0.78, 1.99], [0.87, 2.3], [0.88, 2.61], [0.91, 2.88], [1.0, 3.06], [1.09, 3.16], [1.15, 3.26], [1.24, 3.32], [1.35, 3.34], [1.48, 3.31], [1.6, 3.24], [1.66, 3.11]]"
11.65,"[0.6, 1.22]","[1.67, 3.08]",2.15,True,"[[1.67, 3.08], [1.67, 3.08], [1.67, 3.08], [1.66, 3.07], [1.62, 3.07], [1.6, 3.09], [1.54, 3.1], [1.37, 3.09], [1.16, 3.08], [1.0, 3.02], [0.88, 2.88], [0.8, 2.68], [0.74, 2.46], [0.72, 2.22], [0.77, 1.95], [0.88, 1.75], [0.85, 1.61], [0.87, 1.43], [0.89, 1.28], [0.86, 1.16], [0.8, 1.07], [0.74, 1.01], [0.66, 0.99], [0.62, 1.0]]"
12.13,"[-0.3, -0.83]","[0.62, 1.0]",2.05,True,"[[0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 1.0], [0.62, 0.99], [0.62, 0.98], [0.61, 0.95], [0.55, 0.86], [0.51, 0.73], [0.5, 0.66]]"
9.09,"[-0.2, -1.08]","[0.49, 0.66]",1.87,True,"[[0.49, 0.66], [0.49, 0.66], [0.49, 0.66], [0.49, 0.66], [0.48, 0.6], [0.45, 0.47], [0.41, 0.29], [0.31, 0.06], [0.14, -0.2], [-0.0, -0.39], [-0.02, -0.6], [0.02, -0.8], [0.09, -0.94], [0.11, -1.08], [0.08, -1.21], [0.02, -1.3], [-0.07, -1.33], [-0.15, -1.32], [-0.17, -1.29]]"
8.74,"[0.9, -3.08]","[-0.17, -1.29]",2.09,True,"[[-0.17, -1.29], [-0.17, -1.29], [-0.17, -1.29], [-0.17, -1.29], [-0.17, -1.27], [-0.18, -1.25], [-0.19, -1.26], [-0.19, -1.35], [-0.13, -1.49], [0.03, -1.69], [0.28, -1.9], [0.52, -2.1], [0.68, -2.26], [0.79, -2.37], [0.85, -2.51], [0.89, -2.69], [0.92, -2.87], [0.95, -2.96]]"
12.29,"[-1.15, -2.98]","[0.95, -2.96]",2.1,True,"[[0.95, -2.96], [0.95, -2.96], [0.95, -2.97], [0.97, -2.97], [1.0, -3.01], [1.01, -3.07], [0.97, -3.08], [0.9, -2.95], [0.83, -2.69], [0.71, -2.38], [0.6, -2.24], [0.46, -2.15], [0.29, -2.07], [0.04, -2.05], [-0.28, -2.09], [-0.61, -2.13], [-0.92, -2.13], [-1.17, -2.2], [-1.29, -2.29], [-1.39, -2.35], [-1.46, -2.44], [-1.5, -2.55], [-1.47, -2.69], [-1.41, -2.82], [-1.34, -2.91]]"
12.87,"[0.6, -4.08]","[-1.34, -2.91]",2.27,True,"[[-1.34, -2.91], [-1.34, -2.91], [-1.34, -2.91], [-1.33, -2.9], [-1.33, -2.9], [-1.33, -2.88], [-1.38, -2.75], [-1.33, -2.51], [-1.26, -2.35], [-1.16, -2.23], [-1.01, -2.14], [-0.8, -2.09], [-0.47, -2.08], [-0.06, -2.11], [0.36, -2.17], [0.63, -2.29], [0.74, -2.39], [0.82, -2.54], [0.91, -2.69], [0.93, -2.9], [0.89, -3.12], [0.79, -3.35], [0.7, -3.59], [0.6, -3.74], [0.53, -3.84], [0.51, -3.95]]"
12.78,"[-0.5, -2.18]","[0.51, -3.95]",2.04,True,"[[0.51, -3.95], [0.51, -3.95], [0.51, -3.95], [0.52, -3.95], [0.53, -3.96], [0.53, -3.98], [0.52, -4.0], [0.51, -3.92], [0.51, -3.88], [0.51, -3.88], [0.52, -3.88], [0.56, -3.83], [0.6, -3.72], [0.64, -3.53], [0.72, -3.29], [0.83, -2.99], [0.82, -2.67], [0.74, -2.41], [0.67, -2.29], [0.55, -2.21], [0.43, -2.11], [0.28, -2.06], [0.07, -2.06], [-0.14, -2.07], [-0.34, -2.07], [-0.46, -2.05]]"
8.36,"[1.35, -2.68]","[-0.46, -2.05]",1.92,True,"[[-0.46, -2.05], [-0.46, -2.05], [-0.46, -2.05], [-0.51, -2.02], [-0.59, -2.03], [-0.65, -2.08], [-0.56, -2.1], [-0.34, -2.09], [-0.0, -2.08], [0.32, -2.08], [0.56, -2.19], [0.75, -2.32], [0.89, -2.47], [0.96, -2.64], [1.01, -2.75], [1.07, -2.81], [1.14, -2.84]]"
